"","Year","IcesDivision","species","LiveWtTonnes","LiveWtTonnesInclU10","MeanPricePerKgLiveWt","YearFact"
"3413",2012,"VIIg","Mix Boxes",128.981133,129.526082999999,2.10076996687571,"2012"
"3414",2010,"VIIa","Hake",16.304454,16.853254,2.02801483936477,"2010"
"3415",2008,"VIIj","Cod",53.358209,53.911629,2.39493997080612,"2008"
"3416",2011,"VIa","Megrim",226.04324,226.60186,4.0179378607869,"2011"
"3417",2012,"VIIa","Squid",5.11575,5.67475,4.21975272442946,"2012"
"3418",2016,"VIIb","Turbot",27.881018,28.4423679959719,7.54803952953943,"2016"
"3419",2013,"VIIj","Horse Mackerel",368.946,369.513,0.574918253619771,"2013"
"3420",2015,"VIIb","Ling",46.462968,47.0330819998913,1.62003663702499,"2015"
"3421",2016,"VIIa","Brill",9.254987,9.82560199962643,6.32986151601038,"2016"
"3422",2010,"VIIg","Demersal shark",126.2,126.7722,0.745662616657862,"2010"
"3423",2011,"VIa","Monkfish",487.59661,488.17001,3.66787969176087,"2011"
"3424",2010,"VIIb","Skates and rays",172.466774,173.041774,1.2961048607306,"2010"
"3425",2013,"VIIg","Turbot",85.627576,86.211816,9.07340270288199,"2013"
"3426",2014,"VIIa","Saithe",6.596194,7.186434,1.15461752640993,"2014"
"3427",2015,"VIIa","Mix Boxes",18.51223,19.1103099983978,1.92014961717869,"2015"
"3428",2016,"VIIb","Hake",186.337533,186.935823,2.89407744889536,"2016"
"3429",2013,"VIIb","Shrimp",13.872,14.472,14.6857629183115,"2013"
"3430",2015,"VIa","Plaice",21.59816,22.21876,2.13596137356145,"2015"
"3431",2008,"VIIj","Herring",1475.315,1475.937,0.297834482805367,"2008"
"3432",2008,"VIa","Megrim",171.39893,172.02158,4.18128119586277,"2008"
"3433",2008,"VIIj","Demersal shark",69.6046,70.2349,0.555576245748682,"2008"
"3434",2014,"VIa","Megrim",244.153129,244.783829,3.5183367149611,"2014"
"3435",2013,"VIIj","Cod",116.405768,117.038738,2.08620554098114,"2013"
"3436",2016,"VIIg","Demersal shark",173.72756,174.36756,0.961606396820401,"2016"
"3437",2015,"VIa","Brill",4.68982,5.331285,5.24705212566794,"2015"
"3438",2010,"VIIg","Flounder",0.70455,1.3461,0.683216237314598,"2010"
"3439",2013,"VIIa","Ling",5.494811,6.140051,1.18723047483105,"2013"
"3440",2008,"VIIj","Plaice",71.764268,72.416318,2.25692065628718,"2008"
